,vendorid,rate_code,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Improvement_surcharge,Total_amount,Payment_type,Trip_type
vendorid,1.0,-0.015222843110944642,-0.019027925024345634,0.021256578102551684,-0.035519724872346586,0.037470716696511634,0.08575620105716222,0.0019462224436891202,0.011832965204748984,0.006808216541861121,0.0035069278705328957,-0.003427003250366425,0.00042464447695134865,,0.013066280923968637,0.00065086530200008,-0.03623163770085101,-0.014452029664907889
rate_code,-0.015222843110944642,1.0,0.0758478404251052,-0.07042678068764889,0.03252392884615225,-0.027153458000754405,-0.005987568249248488,0.04516257401031836,0.12925645047500106,-0.14401771749669606,-0.7898128767214918,0.009259897600420305,0.030078012291783862,,-0.7627109931798558,0.005655574205754553,0.03934765432341895,0.9521148059384895
Pickup_longitude,-0.019027925024345634,0.0758478404251052,1.0,-0.9986833705096287,0.24556390093043554,-0.24416576091150757,-0.005604009268517123,-0.018775356876724283,0.009269713197563997,-0.01474122884792688,-0.07937238102545983,0.028647826822582597,-0.002497051872328883,,-0.07259736584155502,0.0007678208896037554,-0.003846043460459834,0.07586161780454292
Pickup_latitude,0.021256578102551684,-0.07042678068764889,-0.9986833705096287,1.0,-0.24459397977142183,0.2456049459767103,0.004461609988395417,0.016456289944827975,-0.01208236409126079,0.011918515750169256,0.074213358845807,-0.03316338497650627,0.00342822750683087,,0.06810300725670343,-0.0009590597647254708,0.010915153196893032,-0.07028311000827861
Dropoff_longitude,-0.035519724872346586,0.03252392884615225,0.24556390093043554,-0.24459397977142183,1.0,-0.9985439997035459,-0.003934159187281823,-0.009518333007826401,0.002943940145716807,-0.006066463532864955,-0.025172779677048545,-0.005368262778562525,0.0013957541594749388,,-0.02720671214916655,3.1093106272504335e-05,0.016030584539371787,-0.00264291504148411
Dropoff_latitude,0.037470716696511634,-0.027153458000754405,-0.24416576091150757,0.2456049459767103,-0.9985439997035459,1.0,0.002923490903029651,0.006460670441588036,-0.006508507488148281,0.00361104319374467,0.020138948074921822,0.00043498472522108535,-0.0012718434886963303,,0.022644783065075315,-0.000266991766330952,-0.008064859316343284,0.008288417563082304
Passenger_count,0.08575620105716222,-0.005987568249248488,-0.005604009268517123,0.004461609988395417,-0.003934159187281823,0.002923490903029651,1.0,0.009708771049184318,0.011547664721738873,0.018022813682515862,0.0037856832748557564,0.0033273857187852804,0.004434678096162056,,0.004450964660500415,0.0005694210434610768,-0.004434508517011938,-0.0059667833066247705
Trip_distance,0.0019462224436891202,0.04516257401031836,-0.018775356876724283,0.016456289944827975,-0.009518333007826401,0.006460670441588036,0.009708771049184318,1.0,0.7802689691673177,-0.043998798264434556,-0.012815450918589084,0.28766153091768953,0.23088097418223985,,-0.0033172382484886595,0.042137071438098556,-0.14802278887118825,0.01956758925294011
Fare_amount,0.011832965204748984,0.12925645047500106,0.009269713197563997,-0.01208236409126079,0.002943940145716807,-0.006508507488148281,0.011547664721738873,0.7802689691673177,1.0,-0.05417823252107449,-0.06784057773669366,0.30195818869142105,0.19199385045039333,,-0.05725379997711633,0.05253463879269747,-0.15046264142498159,0.09833954583038577
Extra,0.006808216541861121,-0.14401771749669606,-0.01474122884792688,0.011918515750169256,-0.006066463532864955,0.00361104319374467,0.018022813682515862,-0.043998798264434556,-0.05417823252107449,1.0,0.15874204710164044,-0.00973238101316574,-0.029016685480523097,,0.14584647198387407,-0.0010457204467824116,-0.014404344139780331,-0.14527037821820285
