column_name,u_index,datatype
lpep_pickup_datetime,0.7384352404038367,object
Lpep_dropoff_datetime,0.7367852483040985,object
Dropoff_latitude,0.005782723088714904,float64
Pickup_latitude,0.005097911676110871,float64
Dropoff_longitude,0.0032528694672306355,float64
Pickup_longitude,0.0025432190701394942,float64
Total_amount,0.0007740974919766113,float64
Trip_distance,0.00031131120360869554,float64
Tip_amount,0.0002385641040788847,float64
Fare_amount,0.000202800848773122,float64
Tolls_amount,3.9547080952447503e-05,int64
DOLocationID,1.6172803167281774e-05,float64
PULocationID,1.5867655937710417e-05,float64
improvement_surcharge,5.6147090241129175e-06,float64
Extra,1.8308833774281252e-06,float64
Passenger_count,6.713239050569792e-07,int64
MTA_tax,5.492650132284376e-07,float64
RateCodeID,4.882355673141667e-07,int64
Payment_type,3.6617667548562503e-07,int64
Trip_type ,2.4411778365708337e-07,int64
Store_and_fwd_flag,1.8308833774281251e-07,object
VendorID,1.8308833774281251e-07,int64
Ehail_fee,1.2205889182854168e-07,float64
