,VendorID,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,PULocationID,DOLocationID
VendorID,1.0,-0.013845789200162982,-0.01694104294825002,0.019041152820695545,-0.03648172269804252,0.038509899417580234,0.08086334850120232,-0.0015548194973783965,0.006217201021612515,0.0012595878724527168,-0.002908918653849191,-0.006896344718319929,-0.00021585434461476237,,0.002734693486771852,0.004793713431668297,-0.03693305394513394,-0.00863490596059941,0.009754350125412798,0.006691835381343879
RateCodeID,-0.013845789200162982,1.0,0.10498467993064564,-0.10185673433007278,0.14828525401001447,-0.14518992379748025,-0.007687136025772551,0.035561161923064,0.11013371538738094,-0.10089253308225689,-0.6340790685293978,0.0013821072562503697,0.027411717946842287,,-0.6190680476485086,0.0885082575139868,0.02435208853116141,0.9540943467336944,0.049734064751007764,0.02323712742432034
Pickup_longitude,-0.01694104294825002,0.10498467993064564,1.0,-0.993732649293263,0.32324648016845364,-0.3140177691957247,-0.006221632670027753,-0.022727113338097,0.00026773929902865136,-0.0164801797418144,-0.09890308783996911,0.019956205604730673,-0.0022716991575255138,,-0.09470812375005666,0.002874059681447652,-0.00428472215920597,0.0838876515161988,,
Pickup_latitude,0.019041152820695545,-0.10185673433007278,-0.993732649293263,1.0,-0.31437602686131483,0.3182352266561643,0.0056658998315054455,0.020800650153639785,-0.0029901941277075484,0.01458485620955886,0.09099783970335004,-0.025071044492871127,0.003312304847189645,,0.0880863893288012,-0.006479334671088751,0.01024644849827748,-0.07893149550325786,,
Dropoff_longitude,-0.03648172269804252,0.14828525401001447,0.32324648016845364,-0.31437602686131483,1.0,-0.9928041606944858,-0.006309074295350656,-0.01209184257707859,-0.0004550074000132369,-0.010012256644319673,-0.04078770834067014,-0.009763059434486245,0.0014525463423527023,,-0.04204906678293271,-0.0033268380350632933,0.014974644391565725,-0.002284351408499239,,
Dropoff_latitude,0.038509899417580234,-0.14518992379748025,-0.3140177691957247,0.3182352266561643,-0.9928041606944858,1.0,0.00583968768798664,0.009767630404104397,-0.002753802123850819,0.008198425799715438,0.032384530769009275,0.0042314284377991595,-0.0013437395571972463,,0.03483446159186626,-0.0008867725115277838,-0.008084852375982273,0.007887341565836972,,
Passenger_count,0.08086334850120232,-0.007687136025772551,-0.006221632670027753,0.0056658998315054455,-0.006309074295350656,0.00583968768798664,1.0,0.008565225850225039,0.010914307290695398,0.014845812724844724,0.003004911786303943,0.004101532074153606,0.005395225141628916,,0.0038482249012390525,0.011567592477883436,-0.0031507315309812216,-0.0047119882590854825,0.020043757646655367,0.005685746414905733
Trip_distance,-0.0015548194973783965,0.035561161923064,-0.022727113338097,0.020800650153639785,-0.01209184257707859,0.009767630404104397,0.008565225850225039,1.0,0.8148052925599056,-0.02645095589769506,-0.0083437155702737,0.36474943977705454,0.2553033652143166,,0.005733470120097156,0.8165693430838461,-0.13384821675138492,0.017713265663318975,0.049064206355602304,0.09066642514275453
Fare_amount,0.006217201021612515,0.11013371538738094,0.00026773929902865136,-0.0029901941277075484,-0.0004550074000132369,-0.002753802123850819,0.010914307290695398,0.8148052925599056,1.0,-0.02933172312760676,-0.06347808007685006,0.3553543690869916,0.21618257949117217,,-0.04324762827062337,0.9725240928480808,-0.14037675088705007,0.10222328646515084,0.039131349629392576,0.07976991487457573
Extra,0.0012595878724527168,-0.10089253308225689,-0.0164801797418144,0.01458485620955886,-0.010012256644319673,0.008198425799715438,0.014845812724844724,-0.02645095589769506,-0.02933172312760676,1.0,0.15826739972666154,0.0014193915722949752,-0.01514919718077449,,0.15712216970065304,0.007335309604023277,-0.01951063872679632,-0.13297590310690915,0.02304491492388236,-0.01967296924160269
MTA_tax,-0.002908918653849191,-0.6340790685293978,-0.09890308783996911,0.09099783970335004,-0.04078770834067014,0.032384530769009275,0.003004911786303943,-0.0083437155702737,-0.06347808007685006,0.15826739972666154,1.0,0.013954419826705115,-0.025372114095347162,,0.9631490617657253,-0.03795382898686018,-0.10333788316425149,-0.8322865152443014,-0.047635282523554645,-0.014083547840584644
Tip_amount,-0.006896344718319929,0.0013821072562503697,0.019956205604730673,-0.025071044492871127,-0.009763059434486245,0.0042314284377991595,0.004101532074153606,0.36474943977705454,0.3553543690869916,0.0014193915722949752,0.013954419826705115,1.0,0.13856758023605498,,0.023075757344321005,0.5433060883593934,-0.4761277604703557,-0.012611563713100722,0.029939881178897614,0.04885147502374245
Tolls_amount,-0.00021585434461476237,0.027411717946842287,-0.0022716991575255138,0.003312304847189645,0.0014525463423527023,-0.0013437395571972463,0.005395225141628916,0.2553033652143166,0.21618257949117217,-0.01514919718077449,-0.025372114095347162,0.13856758023605498,1.0,,-0.0007334104671163663,0.31050058593234475,-0.04040816320113201,0.0037044846650884267,0.012095886777825016,0.019594745466747762
Ehail_fee,,,,,,,,,,,,,,,,,,,,
improvement_surcharge,0.002734693486771852,-0.6190680476485086,-0.09470812375005666,0.0880863893288012,-0.04204906678293271,0.03483446159186626,0.0038482249012390525,0.005733470120097156,-0.04324762827062337,0.15712216970065304,0.9631490617657253,0.023075757344321005,-0.0007334104671163663,,1.0,-0.016116365624269414,-0.10453182009701245,-0.8332018986494758,-0.04636536831340168,-0.016146789424525528
